time,latitude,longitude,depth_km,magnitude,mag_type,place
2024-12-27T01:57:18.235Z,8.0485,127.1446,18.366,4.7,mb,"76 km ENE of Kinablangan, Philippines"
2024-12-26T21:48:20.129Z,30.5356,142.1891,10,4.5,mb,"Izu Islands, Japan region"
2024-12-26T21:02:25.395Z,30.5023,141.8517,7,5.8,mww,"Izu Islands, Japan region"
2024-12-26T19:57:59.382Z,-2.6176,99.7672,10,4.6,mb,"68 km SSE of Tuapejat, Indonesia"
2024-12-26T19:55:18.587Z,-2.7051,99.6841,10,4.5,mb,"75 km S of Tuapejat, Indonesia"
2024-12-26T18:24:50.216Z,-22.4187,173.2562,35,4.6,mb,southeast of the Loyalty Islands
2024-12-26T16:25:52.566Z,28.0183,141.1156,74.565,4.5,mb,"Bonin Islands, Japan region"
2024-12-26T14:57:28.231Z,-0.4362,123.4462,62.86,4.6,mb,"92 km NE of Luwuk, Indonesia"
2024-12-26T11:29:07.732Z,8.3067,126.0068,10,4.9,mb,"12 km SSE of Lapinigan, Philippines"
2024-12-26T10:26:20.024Z,8.473,125.927,24.23,5.3,mww,"3 km ESE of Borbon, Philippines"
2024-12-26T08:08:50.312Z,23.8922,121.7893,22.842,4.7,mwr,"21 km ESE of Hualien City, Taiwan"
2024-12-26T05:55:25.329Z,6.4386,126.1293,66.978,4.6,mb,"3 km S of Nangan, Philippines"
2024-12-26T00:52:39.508Z,7.3229,-75.298,52.19,5,mww,"10 km ENE of Valdivia, Colombia"
2024-12-25T21:39:29.258Z,50.5968,-130.2621,10,5,mww,"224 km W of Port McNeill, Canada"
2024-12-25T19:38:53.024Z,-3.2209,146.0052,10,4.7,mb,"192 km SW of Lorengau, Papua New Guinea"
2024-12-25T19:07:06.362Z,-24.0714,-66.9435,183.493,4.5,mb,"65 km WNW of San Antonio de los Cobres, Argentina"
2024-12-25T17:47:53.483Z,11.1725,-85.7826,90.305,4.5,mb,"13 km SE of San Juan del Sur, Nicaragua"
2024-12-25T16:09:52.472Z,-34.2994,-178.2285,10,4.9,mb,south of the Kermadec Islands
2024-12-25T14:26:00.407Z,1.679,127.2885,116.434,4.5,mb,"80 km W of Tobelo, Indonesia"
2024-12-25T09:12:48.612Z,8.4731,40.1807,10,4.5,mb,"53 km SW of Gelemso, Ethiopia"
2024-12-25T07:20:47.982Z,13.6163,144.7222,126.819,4.5,mb,"15 km NNW of Tamuning-Tumon-Harmon Village, Guam"
2024-12-25T06:54:53.549Z,-5.5545,151.1652,74.272,4.5,mb,"113 km E of Kimbe, Papua New Guinea"
2024-12-25T06:34:48.763Z,-19.0858,-177.6396,458.667,5.6,mww,Fiji region
2024-12-25T04:28:14.836Z,-39.3937,78.2767,10,4.7,mb,Mid-Indian Ridge
2024-12-25T04:25:00.483Z,-39.1949,78.1508,10,4.5,mb,Mid-Indian Ridge
2024-12-25T03:59:27.072Z,-56.6063,147.5658,10,4.5,mb,west of Macquarie Island
2024-12-25T01:47:08.010Z,-55.2003,-129.1299,10,4.9,mb,Pacific-Antarctic Ridge
2024-12-24T23:32:45.178Z,13.434,120.4006,10,4.6,mb,"3 km WSW of Harrison, Philippines"
2024-12-24T22:42:25.776Z,-28.2047,-67.3646,138,5.9,mww,"25 km SE of Tinogasta, Argentina"
2024-12-24T21:43:50.806Z,-60.6679,-41.1961,10,4.5,mb,Scotia Sea
