lat,lon
41.0068267,29.0251505
41.1692589,28.9050021
41.1558455,29.6043713
41.0876776,29.3476389
41.0880657,29.3451445
41.1908234,29.4472343
41.1679444,29.5613628
41.1914264,29.0368874
41.0516552,28.3869997
41.0834328,28.3683074
41.0834475,28.3708143
41.0201144,28.5593928
41.0217351,28.5840546
41.0231782,28.6188261
41.016821,28.6392375
41.0001016,28.6950441
40.9882554,28.7187248
40.990692,28.7184232
40.9868352,28.7699299
40.9859369,28.7839188
40.9885513,28.7909023
40.9863951,28.8196684
41.0164732,28.8116205
41.0260494,28.8141226
41.0432544,28.8030705
41.0366263,28.7971332
41.0336744,28.7681455
41.0426641,28.7563563
40.9194604,29.2866564
40.8942418,29.2593302
41.0716662,28.6938781
41.0672924,28.6494303
40.9810361,29.1311204
40.9793625,29.1271977
40.9790501,29.1046565
40.9853132,29.107179
40.9859873,29.108754
40.8895343,29.2067711
40.8970717,29.2257208
40.9478483,29.1064953
40.9806612,29.0418373
40.9839354,29.0400899
41.1088426,28.8596474
41.093562,28.8634524
41.098707,28.9003775
41.0806741,28.9072787
41.104532,28.8042785
41.2345213,28.8880194
41.1775159,28.7479725
41.1568163,28.6723328
41.0141227,29.1637819
41.0157593,29.1531253
41.0160928,29.1503703
41.01646,29.1460319
41.0055207,29.1463068
41.0132643,29.1072865
40.8967672,29.203426
41.1661931,29.056493
40.9585228,29.2148183
41.0033205,28.8663906
41.0069657,28.8713178
41.002278,28.8829966
41.0795466,28.62606
41.079205,28.6248376
40.9725654,28.7899492
40.9929402,28.793514
41.0151848,28.9078086
41.0162795,28.9116473
41.0167833,28.9128377
41.0612672,28.7767168
41.0996573,28.7666233
40.9743342,28.8740989
41.0538729,28.8664719
41.0546792,28.8639486
41.0841918,28.9783031
41.0889002,28.9849858
41.0937938,28.9927287
41.0383282,28.9567532
41.0585181,28.9657014
41.0449576,29.1771714
41.069683,28.8251047
40.9954061,28.7046971
41.0005436,28.6914835
41.0093769,28.7014502
41.01155,28.698086
41.0374652,28.9257148
41.0395929,28.9113175
41.071343,28.8679143
41.0870737,28.8689191
41.0367809,28.8872845
41.0456765,28.9313796
41.0562456,28.8756497
41.1402781,28.7728915
41.1911652,28.3997145
41.0348065,28.7668233
41.0145162,28.768116
41.2478541,28.7521214
40.8412104,29.433522
40.8577015,29.394136
41.011561,28.679358
41.2033847,28.7597825
40.8690844,29.3347683
41.1317235,28.2300993
40.850586,29.5389374
40.8554529,29.5376112
41.0059156,28.6596976
41.069131,28.8108143
41.2318491,28.5996615
41.1331951,28.2313504
41.0166336,28.9550416
41.0191556,28.9178318
41.0195398,28.6294897
40.9705543,29.1009385
41.014193,28.8420492
41.0037021,28.9499428
40.9827619,29.6657486
40.8030838,29.4401118
41.0847966,29.3322251
40.8007242,29.4681733
40.8016956,29.4667791
40.8026502,29.4607177
40.813543,29.4317558
40.8141603,29.4318381
40.8261432,29.4172899
40.8113952,29.4219696
40.8807816,29.2499652
40.9884588,29.1455518
40.9841631,29.0569144
40.9912822,28.9195654
41.0022429,28.9198623
41.028186,28.899395
41.0280911,28.9007152
41.0340694,28.8969993
40.9290485,29.1462548
41.0330705,29.1107764
41.0205482,29.1296114
41.0544147,29.0337873
41.0738872,29.0159579
41.0698742,29.0152452
41.030962,28.814632
41.0244923,28.8283443
41.0365006,28.8937404
41.0426227,28.8959656
41.0405545,28.9117371
41.0296484,28.8668127
41.0391741,28.9173024
41.0386246,28.9217428
41.0416669,28.9199626
41.04616,28.9154492
41.0581266,28.9062807
41.0618394,28.9023144
41.0501035,28.8998117
41.0557261,28.896849
41.0610413,28.8921509
41.0729681,28.8867081
41.0761488,28.8807542
